a.id,a.firstname,a.lastname,a.gender,a.birthdate,a.deathdate,a.birthplace,a.deathplace,a.nationality
1,William Bernard,Adeney,M,1878-01-01,1966-01-01,London,London,GB
2,Peter,Alma,M,1886-01-01,1969-01-01,Medan,Amsterdam,NL
3,Natan,Alt'man,M,1889-01-01,1970-01-01,Vinnitsa,Saint Petersburg,RU
4,Cuno,Amiet,M,1868-01-01,1961-01-01,Solothurn,Seeberg,CH
5,Vassily,Kandinsky,M,1866-01-01,1944-01-01,Moscow,Neuilly-sur-Seine,RU
6,Kazimir,Malevich,M,1878-01-01,1935-01-01,Kiev,Saint Petersburg,RU
7,Piet,Mondrian,M,1872-01-01,1944-01-01,Amersfoort,New York,NL
8,Alexander,Archipenko,M,1887-01-01,1964-01-01,Kiev,New York,US
12,Hans,Arp,M,1886-01-01,1966-01-01,Strasburg,Basel,FR
13,Lawrence,Atkinson,M,1873-01-01,1931-01-01,Manchester,Paris,GB
14,Léon,Bakst,M,1866-01-01,1924-01-01,Hrodna,Paris,RU
15,Giacomo,Balla,M,1871-01-01,1958-01-01,Turin,Rome,IT
17,Ernst,Barlach,M,1870-01-01,1938-01-01,Wedel,Rostock,DE
19,Paul,Baum,M,1859-01-01,1932-01-01,Meissen,San Gimignano,DE
20,Willi,Baumeister,M,1889-01-01,1955-01-01,Stuttgart,Stuttgart,DE
21,Aubrey Vincent,Beardsley,M,1872-01-01,1898-01-01,Brighton,Menton,GB
23,Max,Beckmann,M,1884-01-01,1950-01-01,Leipzig,New York,DE
24,Vanessa,Bell,F,1879-01-01,1961-01-01,Kensington,West Sussex,GB
25,George Wesley,Bellows,M,1882-01-01,1925-01-01,"Columbus, Ohio",New York,US
26,Vincenc,Beneš,M,1883-01-01,1979-01-01,Lišice,Prague,CZ
27,Alexandre,Benois,M,1870-01-01,1960-01-01,Saint Petersburg,Paris,RU
28,Róbert,Berény,M,1887-01-01,1953-01-01,Budapest,Budapest,HU
29,Hendrik Petrus,Berlage,M,1856-01-01,1934-01-01,Amsterdam,"Hague, The",NL
30,Émile,Bernard,M,1868-01-01,1941-01-01,Lille,Paris,FR
31,Robert Polhill,Bevan,M,1865-01-01,1925-01-01,Hove,London,GB
32,Albert,Bloch,M,1882-01-01,1961-01-01,St. Louis,"Lawrence, Kansas",US
33,Umberto,Boccioni,M,1882-01-01,1916-01-01,Reggio Calabria,Verona,IT
34,Arnold,Böcklin,M,1827-01-01,1901-01-01,Basel,San Domenico di Fièsole,CH
35,Oleksandr,Bohomazov,M,1880-01-01,1930-01-01,Yampol,Kiev,UA
36,David,Bomberg,M,1890-01-01,1957-01-01,Birmingham,London,GB
37,Pierre,Bonnard,M,1867-01-01,1947-01-01,Fontenay-aux-Roses,Le Cannet,FR
38,Viktor,Borisov-Musatov,M,1870-01-01,1905-01-01,Saratov,Tarusa,RU
39,Emile-Antoine,Bourdelle,M,1861-01-01,1929-01-01,Montauban,Le Vésinet,FR
41,Georges,Braque,M,1882-01-01,1963-01-01,Argenteuil,Paris,FR
42,Horace,Brodzky,M,1885-01-01,1969-01-01,Melbourne,London,AU
43,Petr Ignat'evič,Bromirskij,M,1884-01-01,1919-01-01,,,RU
44,Patrick Henry,Bruce,M,1881-01-01,1936-01-01,Campbell,New York,US
45,Hans,Brühlmann,M,1878-01-01,1911-01-01,Amriswill,Stuttgart,CH
46,Jean,Brusselmans,M,1884-01-01,1953-01-01,Brussels,Dilbeek,BE
47,Max,Buri,M,1868-01-01,1915-01-01,Burgdorf,Interlaken,CH
48,David,Burlyuk,M,1882-01-01,1967-01-01,Kharkov,Southampton,UA
49,Vladimir,Burlyuk,M,1887-01-01,1917-01-01,Chernyanka,Greece,UA
50,Edward,Burne-Jones,M,1833-01-01,1898-01-01,Birmingham,London,GB
51,Charles,Camoin,M,1879-01-01,1965-01-01,Marseilles,Paris,FR
52,Heinrich,Campendonk,M,1889-01-01,1957-01-01,Krefeld,Amsterdam,DE
53,Josef,Čapek,M,1887-01-01,1945-01-01,Hronov,Lager Bergen Belsen,CZ
54,Arthur Beecher,Carles,M,1882-01-01,1952-01-01,Philadelphia,Philadelphia,US
55,Carlo,Carrà,M,1881-01-01,1966-01-01,Alessandria,Milan,IT
56,Eugène,Carrière,M,1849-01-01,1906-01-01,Gournay-sur-Marne,Paris,FR
57,Felice,Casorati,M,1883-01-01,1963-01-01,Novara,Turin,IT
58,Paul,Cézanne,M,1839-01-01,1906-01-01,Aix-en-Provence,Aix-en-Provence,FR
59,Auguste-Elysée,Chabaud,M,1882-01-01,1955-01-01,Nîmes,Graveson,FR
60,Marc,Chagall,M,1887-01-01,1985-01-01,Vitebsk,Saint-Paul,BY
62,Vasily,Chekrygin,M,1897-01-01,1922-01-01,Zhizdra,Mamontovka (Moscow region),RU
64,Charles,Conder,M,1868-01-01,1909-01-01,London,Virginia Water,GB
65,Lovis,Corinth,M,1858-01-01,1925-01-01,Gvardeysk,Zandvoort,DE
66,Gustave,Courbet,M,1819-01-01,1877-01-01,Ornans,La Tour-de-Peilz,FR
67,Walter,Crane,M,1845-01-01,1915-01-01,Liverpool,Horsham,GB
68,Henri Edmond,Cross,M,1856-01-01,1910-01-01,Douai,"Saint-Clair, Var",FR
