e_startdate,a_id,firstname,lastname,number_of_paintings
1902,276,Edvard,Munch,29
1903,276,Edvard,Munch,57
1904,276,Edvard,Munch,42
1904,595,Heinrich,Zille,31
1904,7857,Louis,Vallet,13
1904,1299,Hans,Lichtenberger,12
1904,5304,,Grass Mick,12
1904,432,Jacob,Alberts,11
1904,3162,Ricardo,Florès,11
1904,7851,Fernand Louis,Gottlob,10
1904,2552,Charles-Lucien,Léandre,9
1904,267,Oskar,Moll,8
1904,7854,Ernest T.,Rosen,8
1904,7856,Auguste Jean Baptiste,Roubille,8
1904,7853,Marcel,Noblot,7
1904,5290,Demetrius,Galanis,5
1904,317,Pierre-Auguste,Renoir,1
1905,401,Vincent van,Gogh,513
1905,642,Albert,Besnard,400
1905,421,James McNeill,Whistler,194
1905,5416,Alfred William,Rich,152
1905,3179,Gaston,Prunier,144
1905,276,Edvard,Munch,119
1905,3206,T. Frantisek,Simon,113
1905,201,František,Kupka,109
1905,2604,Ferenc,Olgyay,100
1905,2424,Ivar,Arosenius,92
1905,1277,Adolf,Fényes,91
1905,1335,Pál,Szinyei Merse,91
1905,225,Max,Liebermann,70
1905,1931,Jean-Auguste-Dominique,Ingres,67
1905,300,Francis,Picabia,63
1905,400,Kees van,Dongen,54
1905,487,Walter,Leistikow,46
1905,600,Józef,Mehoffer,46
1905,6079,Rudolf,Konopa,44
1905,6140,Pompeo,Mariani,42
1905,268,Claude,Monet,41
1905,355,René,Seyssaud,40
1905,27,Alexandre,Benois,33
1905,236,Edouard,Manet,31
1905,2045,Nicolas Alexandrovitch,Tarkhoff,31
1905,8864,Georges,Le Meilleur,30
1905,301,Pablo,Picasso,29
1905,2460,Antonin,Hudecek,29
1905,3730,William,Nicholson,27
1905,387,Albert,Trachsel,26
1905,394,Félix,Vallotton,26
1905,1396,Jozef,Israëls,26
1905,4048,Moritz,Weinholdt,26
1905,19,Paul,Baum,24
1905,369,Konstantin,Somov,24
1905,248,Henri,Matisse,23
1905,1704,Eugène,Boudin,23
1905,1890,Konstantin,Kuznetsov,23
1905,12528,Eugène,Mahaux,23
1905,38,Viktor,Borisov-Musatov,22
1905,2601,Jan,Toorop,22
1905,470,Curt,Herrmann,21
1905,499,Ernst,Oppler,21
1905,546,Frans van,Damme,21
1905,559,Fernand,Lantoine,21
1905,3053,Paul,Deltombe,21
1905,4450,Robert,Nadler,21
1905,90,Mstislav,Dobuzhinsky,20
1905,97,Raoul,Dufy,20
1905,215,Henri Victor Gabriel,Le Fauconnier,20
1905,1021,Giuseppe,Casciaro,20
1905,1406,Jan,Veth,20
1905,3162,Ricardo,Florès,20
1905,3663,Hugo,Boettinger,20
1905,128,Othon,Friesz,19
1905,237,Henri Charles,Manguin,19
1905,1710,George,Morren,19
1905,2507,Adolphe Marie,Beaufrère,19
1905,4502,Robert,Wellmann,19
1905,478,Konrad von,Kardorff,18
1905,2017,Sergey Vasil'yevich,Malyutin,18
1905,3158,Bernard,Boutet de Monvel,18
1905,8773,Dušan,Jurkovič,18
1905,5,Vassily,Kandinsky,17
1905,51,Charles,Camoin,17
1905,245,Albert,Marquet,17
1905,304,Jan,Preisler,17
1905,1279,Béla,Iványi-Grünwald,17
1905,1780,Jean-François,Raffaëlli,17
1905,2396,Georgette,Agutte,17
1905,2894,Francis,Jourdain,17
1905,467,Hans von,Hayek,16
1905,585,Karl,Walser,16
1905,638,,Beuroner Kunstschule,16
1905,756,Leopold,Stolba,16
1905,1825,Bernard,Naudin,16
1905,1901,Fedor Ivanovich,Rerberg,16
1905,1823,Carl,Larsson,15
1905,2492,Léon-Charles,Bauche,15
1905,7582,Eveli,Torent Marsans,15
1905,8313,Auguste,Gérardin,15
1905,14,Léon,Bakst,14
1905,84,André,Derain,14
1905,187,Gustav,Klimt,14
1905,410,Ludwig von,Hofmann,14
1905,588,Heinrich von,Zügel,14
1905,1188,Samuel,Halpert,14
1905,4432,Hugó,Poll,14
1905,164,Ferdinand,Hodler,13
1905,219,Georges,Lemmen,13
1905,309,Leo,Putz,13
1905,554,Marcel,Jefferys,13
1905,657,Wilhelm,Köppen,13
1905,659,Leo,Samberger,13
1905,687,George,Clausen,13
1905,1348,Lajos,Zombory,13
1905,1509,Georges Léon,Dufrenoy,13
1905,1793,Igor,Grabar,13
1905,1798,Georges Leon Ernest,Buysse,13
1905,1992,Ivan,Bilibin,13
1905,2263,Leonid,Pasternak,13
1905,2474,Paul Louis,Baignières,13
1905,2489,Georges,Bärwolf,13
1905,6213,Viggo Christian Frederik Vilhelm,Pedersen,13
1905,6562,Darío de,Regoyos,13
1905,175,Augustus,John,12
1905,408,Jacques,Villon,12
1905,416,Edouard,Vuillard,12
1905,718,Carl Theodor,Meyer-Basel,12
1905,1046,Cesare,Laurenti,12
1905,1508,Karl,Fahringer,12
1905,1727,,Hermann-Paul,12
1905,1777,Viggo,Johansen,12
1905,1792,Rodolphe,Fornerod,12
1905,1805,Jenny,Montigny,12
1905,1917,Aleksej Alekseevič,Jasinskij,12
1905,2469,Gustave,Bamberger,12
1905,3212,Bedřich,Wachsmann,12
1905,5390,Francis,Dodd,12
1905,8772,Bohumil,Hübschmann,12
1905,12523,Jules-Marie,Canneel,12
1905,58,Paul,Cézanne,11
1905,165,Adolf,Hölzel,11
1905,317,Pierre-Auguste,Renoir,11
1905,501,Richard,Pietzsch,11
1905,518,George,Mosson,11
1905,1720,Albert de,Belleroche,11
1905,2267,Thérèse,Schwartze,11
1905,2333,Walter Sigmund,Hampel,11
1905,2354,Hugo,Baar,11
1905,2375,Jan,Honsa,11
1905,2882,Lajos,Szlányi,11
1905,2906,Tony,Minartz,11
1905,3170,Marguerite-Anne-Rose,Delorme,11
1905,3172,Charles,Jouas,11
1905,3858,A.,Robinson,11
1905,4526,Ödön,Pajtás,11
1905,5397,Moffat Peter,Lindner,11
1905,12524,Eugène-Théodore-Emile,Canneel,11
1905,88,Maurice de,Vlaminck,10
1905,129,Roger,Fry,10
1905,203,Pavel,Kuznetsov,10
1905,316,Odilon,Redon,10
1905,412,Franz von,Stuck,10
1905,477,Leopold,Kalckreuth,10
1905,527,René,De Man,10
1905,594,Ernst,Stern,10
1905,1290,Max,Feldbauer,10
1905,1355,Alois,Hänisch,10
1905,1386,Alcide-Marie,Le Beau,10
1905,1711,Maxime,Maufra,10
1905,1732,Etienne,Moreau-Nelaton,10
1905,1881,Eugène,Zak,10
1905,2013,Agnes,Lindemann,10
1905,2272,Susanne,Robertson,10
1905,2385,Pauline,Adour,10
1905,2394,Charles-Jean,Agard,10
1905,2408,Eugène,Alluaud,10
1905,2417,Hermen,Anglada-Camarasa,10
1905,2450,Benoni-Auran,Benoît,10
1905,2819,Jens Ferdinand,Willumsen,10
1905,3736,William,Rothenstein,10
1905,4903,Fritz,Syberg,10
1905,4907,Julius,Paulsen,10
1905,5271,Robert,Dupont,10
1905,6264,Johan,Rohde,10
1905,6453,Alexander,Robinson,10
1905,7568,Raoul,Carré,10
1905,7571,Aristide,Delannoy,10
1905,7579,Georges Leopold,Mita,10
1905,313,Paul Elie,Ranson,9
1905,480,Philipp,Klein,9
1905,517,Ulrich,Hübner,9
1905,558,Henri Louis Philippe,Le Roux,9
1905,647,Hans,Tichy,9
1905,702,Hermann,Groeber,9
1905,1041,Giuseppe,Zanetti-Miti,9
1905,1318,Izsák,Perlmutter,9
1905,1800,Rodolphe de,Saegher,9
1905,1915,Mikhail,Shesterkin,9
1905,1941,Oscar,Petyt,9
1905,1966,Ossip Emmanujilowitsch,Brass,9
1905,2397,Adolphe,Albert,9
1905,2449,Louis-Marie-Augustin,Auglay,9
1905,3159,Jacques,Brissaud,9
1905,3161,Pierre Marie Alfred,Chapuis,9
1905,3163,Gabriel,Rousseau,9
1905,3196,Miloš,Jiránek,9
1905,3747,Laurits Regner,Tuxen,9
1905,4449,Ignac,Ujvary,9
1905,4487,Endre,Frecskay,9
1905,4500,Géza,Faragó,9
1905,5009,Stanisław,Wyspiański,9
1905,5409,William,Orpen,9
1905,5418,George,Thomson,9
1905,5483,Dugald Sutherland,MacColl,9
1905,5582,James Wilson,Morrice,9
1905,6561,Roderic,O'Conor,9
1905,6630,Alois De,Laet,9
1905,7097,Rene,Bosiers,9
1905,7647,Tancrede,Synave,9
1905,7801,Henri,Pailler,9
1905,246,Alberto,Martini,8
1905,360,Walter Richard,Sickert,8
1905,386,Henri de,Toulouse-Lautrec,8
1905,413,Fritz von,Uhde,8
1905,415,Mikhail,Vrubel',8
1905,429,Anders,Zorn,8
1905,490,Adolfo,Levier,8
1905,536,Jules,Dubois,8
1905,541,Henri,Roidot,8
1905,555,William,Jelley,8
1905,581,Wilhelm,Trübner,8
1905,583,Kurt,Tuch,8
1905,680,Carl,Ederer,8
1905,861,W. Franz,Jäger,8
1905,1149,Plinio,Nomellini,8
1905,1223,Emile,Claus,8
1905,1303,Walter,Püttner,8
1905,1360,Adelbert,Niemeyer,8
1905,1611,Celestin Mato,Medović,8
1905,1723,Paul de,Castro,8
1905,1747,Anna De,Weert,8
1905,1788,Andre,Barbier,8
1905,1835,Olga,Boznańska,8
1905,2005,Konstantin,Yuon,8
1905,2120,Bernard,Gussow,8
1905,2257,Elza,Backlund,8
